,Ticker,volume
7641,CORZ,3606139614.0
2341,BILI,3599116128.0
6353,CX,3591359545.0
1696,TOST,3563608821.0
2776,CTRA,3538622356.0
1637,BA,3526704893.0
10543,DUST,3524379511.0
8800,BKR,3503019259.0
4313,GLD,3493499640.0
10304,YMM,3460642913.0
8547,BSX,3458147787.0
7578,CHWY,3449675037.0
9373,GE,3447342211.2356987
5850,BTE,3446804686.0
10493,SCHF,3428360541.0
7928,AG,3425150389.0
8680,IJH,3419804702.0
6815,BOIL,3416209385.2
4669,AES,3407480775.0
4978,JNK,3405095898.0
1318,DELL,3388669591.0
10131,HST,3369812827.0
6745,CAN,3368535115.0
99,USHY,3330945630.0
8759,RKLB,3329750794.0
1875,EXC,3321658304.0
8267,CRM,3310578419.0
10052,AUR,3295859139.0
4491,ON,3295184274.0
9198,CDE,3289789162.0
3445,IAG,3278800677.0
10575,AVTR,3253328906.0
634,VCIT,3237120531.0
7069,RTX,3230174716.0
3235,ALTM,3224955643.0
5144,WMB,3217296219.0
7763,EQT,3206081207.0
2872,GILD,3199648381.0
7273,PACB,3198727158.0
3021,IREN,3193846652.0
5746,VOD,3192532027.0
7511,V,3184511987.0
5384,MDLZ,3177782337.0
4093,IYR,3177259928.0
892,PG,3175045021.0
7049,ROKU,3150148161.0
545,VRT,3147799055.0
1681,BND,3142724444.0
7692,EOSE,3142528385.0
281,IOVA,3140949818.0
9752,XLK,3133918272.0
6317,EWJ,3130879808.0
657,ZI,3121230609.0
2217,SPXU,3120015462.600001
9971,X,3116828772.0
4248,ARDX,3114546351.0
4020,BLUE,3104745279.0
441,GDXJ,3084975961.0
6647,EMB,3084868022.0
2685,MDT,3082970934.0
3119,QRTEA,3070230599.0
6527,ASX,3062048607.0
3972,STLA,3043215199.0
9534,BTBT,3042552098.0
6208,SE,3039750119.0
4149,MSOS,3032760594.0
811,ARM,3032287000.0
6282,JOBY,3027104943.0
5215,XLRE,3026718274.0
5695,AMAT,3010533456.0
2255,S,3006616617.0
3106,GBTC,3002290169.0
8803,KOS,2938927730.0
8452,SNOW,2931336698.0
10505,ACHR,2927039544.0
9834,COP,2915344132.0
3609,ELAN,2909368021.0
2098,NOVA,2906013694.0
9036,BBAI,2887833960.0
335,MLGO,2884969807.0
8450,XRT,2880597374.0
8996,CFG,2861128288.0
6016,UNG,2851895170.5
2784,VICI,2833228605.0
4345,ASTS,2821203899.0
6445,APH,2820949004.0
1415,GEVO,2816379962.0
1327,XLC,2808586544.0
8562,FITB,2804862095.0
10584,NWL,2798819917.0
10457,SAVE,2794183402.0
2721,FTNT,2789696789.0
8187,SABR,2783576169.0
5372,AA,2778549263.0
646,MNST,2772955779.0
5250,APA,2766591740.0
6413,XP,2760708757.0
10273,PTEN,2760689386.0
9408,AQN,2744959510.0
4032,OCGN,2733446380.0
5885,JTAI,2732751895.0
10098,IAU,2731175191.0
890,NFLX,2726819635.0
7676,UVIX,2708666546.06
1271,IBN,2706998377.0
10629,ENVX,2701886011.0
10080,EBAY,2701125474.0
10942,SCHX,2700625805.0
2360,ABNB,2685714768.0
2284,ABBV,2656497001.0
7160,NGD,2655287520.0
1843,SPLG,2646877312.0
10797,ABT,2639496158.0
186,CLVT,2639488579.0
9470,XLB,2638559945.0
9170,RSP,2621276359.0
3619,TXN,2619180549.0
2008,MCHP,2616325403.0
9395,KSS,2615753042.0
10425,LVS,2596760219.0
2957,STNE,2591257199.0
6582,FTI,2577643450.0
6677,O,2573456545.0
785,ARRY,2573212576.0
4058,CIFR,2569546622.0
10044,TMF,2557734975.0
2898,HIMS,2551926219.0
6433,VST,2551022986.0
8162,TJX,2544804697.0
10150,MQ,2543243129.0
10705,WU,2542682503.0
